sale_id,sale_date,product_id,product_name,category,subcategory,region,store_id,units_sold,revenue,cost
TRX004378,2024-01-10,P0044,ヘアケア スタンダード,美容・健康,ヘアケア,九州,S011,2,7979.26,4200.0
TRX004959,2024-01-10,P0016,ボトムス スタンダード,衣料品,ボトムス,東北,S012,1,25689.56,11800.0
TRX000851,2024-01-11,P0001,スマートフォン プレミアム,家電,スマートフォン,東北,S012,2,165469.05,83600.0
TRX001209,2024-01-11,P0049,フレグランス プレミアム,美容・健康,フレグランス,関東,S001,6,34160.82,16800.0
TRX001383,2024-01-11,P0046,サプリメント スタンダード,美容・健康,サプリメント,中国・四国,S015,7,17594.5,7000.0
TRX003641,2024-01-11,P0003,タブレット プレミアム,家電,タブレット,東海,S009,1,11678.15,6400.0
TRX003667,2024-01-11,P0029,調味料 プレミアム,食品,調味料,中国・四国,S016,7,9022.6,4900.0
TRX003770,2024-01-11,P0021,スナック菓子 プレミアム,食品,スナック菓子,関西,S005,1,922.82,500.0
TRX005152,2024-01-11,P0029,調味料 プレミアム,食品,調味料,九州,S010,5,6504.93,3500.0
TRX002412,2024-01-12,P0041,スキンケア プレミアム,美容・健康,スキンケア,関東,S003,6,22900.09,10200.0
TRX002960,2024-01-12,P0050,フレグランス スタンダード,美容・健康,フレグランス,関東,S001,10,33971.28,15000.0
TRX004084,2024-01-12,P0003,タブレット プレミアム,家電,タブレット,東海,S008,4,45447.53,25600.0
TRX004273,2024-01-12,P0022,スナック菓子 スタンダード,食品,スナック菓子,東北,S012,6,11406.3,6600.0
TRX000415,2024-01-13,P0019,シューズ プレミアム,衣料品,シューズ,九州,S011,5,90521.6,43000.0
TRX000515,2024-01-13,P0016,ボトムス スタンダード,衣料品,ボトムス,関東,S004,1,22707.68,11800.0
TRX001066,2024-01-13,P0019,シューズ プレミアム,衣料品,シューズ,中国・四国,S016,5,88071.66,43000.0
TRX001072,2024-01-13,P0027,インスタント食品 プレミアム,食品,インスタント食品,関東,S001,3,3610.17,2400.0
TRX001477,2024-01-13,P0039,水泳 プレミアム,スポーツ,水泳,北海道,S014,1,20505.98,10300.0
TRX001761,2024-01-13,P0039,水泳 プレミアム,スポーツ,水泳,関東,S004,3,53580.75,30900.0
TRX002474,2024-01-13,P0001,スマートフォン プレミアム,家電,スマートフォン,東海,S009,4,347349.01,167200.0
TRX002711,2024-01-13,P0008,イヤホン スタンダード,家電,イヤホン,東北,S013,4,491672.29,195600.0
TRX003901,2024-01-13,P0010,スマートウォッチ スタンダード,家電,スマートウォッチ,東北,S013,1,106011.87,52300.0
TRX004178,2024-01-13,P0001,スマートフォン プレミアム,家電,スマートフォン,東北,S013,6,514486.02,250800.0
TRX000656,2024-01-14,P0043,ヘアケア プレミアム,美容・健康,ヘアケア,関東,S001,1,1845.51,900.0
TRX001346,2024-01-14,P0011,メンズトップス プレミアム,衣料品,メンズトップス,北海道,S014,5,16957.93,8500.0
TRX001943,2024-01-14,P0023,飲料 プレミアム,食品,飲料,東海,S009,9,10182.58,4500.0
TRX002147,2024-01-14,P0011,メンズトップス プレミアム,衣料品,メンズトップス,東北,S012,6,21961.54,10200.0
TRX004007,2024-01-14,P0014,レディーストップス スタンダード,衣料品,レディーストップス,東海,S009,5,126566.48,70000.0
TRX004149,2024-01-14,P0039,水泳 プレミアム,スポーツ,水泳,北海道,S014,1,19136.85,10300.0
TRX004438,2024-01-14,P0020,シューズ スタンダード,衣料品,シューズ,東海,S008,7,138459.71,77700.0
TRX004873,2024-01-14,P0005,ノートPC プレミアム,家電,ノートPC,北海道,S014,5,400987.65,256500.0
TRX005005,2024-01-14,P0032,フィットネス用品 スタンダード,スポーツ,フィットネス用品,関東,S004,7,259718.07,109900.0
TRX001101,2024-01-15,P0012,メンズトップス スタンダード,衣料品,メンズトップス,北海道,S014,9,79020.91,40500.0
TRX001298,2024-01-15,P0046,サプリメント スタンダード,美容・健康,サプリメント,東北,S013,4,9753.64,4000.0
TRX004440,2024-01-15,P0037,チームスポーツ プレミアム,スポーツ,チームスポーツ,東海,S009,1,15836.92,6700.0
TRX005032,2024-01-15,P0007,イヤホン プレミアム,家電,イヤホン,東北,S012,6,646863.07,274800.0
TRX000952,2024-01-16,P0018,アウター スタンダード,衣料品,アウター,九州,S010,6,25486.15,12000.0
TRX001562,2024-01-16,P0026,健康食品 スタンダード,食品,健康食品,北海道,S014,6,2164.31,1200.0
TRX001818,2024-01-16,P0010,スマートウォッチ スタンダード,家電,スマートウォッチ,中国・四国,S016,1,114607.62,52300.0
TRX003372,2024-01-16,P0012,メンズトップス スタンダード,衣料品,メンズトップス,関西,S005,6,59520.65,27000.0
TRX004553,2024-01-16,P0032,フィットネス用品 スタンダード,スポーツ,フィットネス用品,中国・四国,S015,3,108355.98,47100.0
TRX000243,2024-01-17,P0041,スキンケア プレミアム,美容・健康,スキンケア,東北,S012,4,14043.66,6800.0
TRX000391,2024-01-17,P0001,スマートフォン プレミアム,家電,スマートフォン,東北,S013,8,691225.44,334400.0
TRX000480,2024-01-17,P0008,イヤホン スタンダード,家電,イヤホン,中国・四国,S015,6,690441.44,293400.0
TRX001096,2024-01-17,P0003,タブレット プレミアム,家電,タブレット,東海,S008,3,34794.08,19200.0
TRX003034,2024-01-17,P0046,サプリメント スタンダード,美容・健康,サプリメント,九州,S011,2,4739.69,2000.0
TRX003128,2024-01-17,P0040,水泳 スタンダード,スポーツ,水泳,東海,S009,2,79040.95,40400.0
TRX003373,2024-01-17,P0005,ノートPC プレミアム,家電,ノートPC,北海道,S014,1,77259.06,51300.0
TRX005066,2024-01-17,P0027,インスタント食品 プレミアム,食品,インスタント食品,北海道,S014,2,2324.73,1600.0
TRX000079,2024-01-18,P0006,ノートPC スタンダード,家電,ノートPC,東海,S008,2,198919.21,90400.0
TRX000309,2024-01-18,P0024,飲料 スタンダード,食品,飲料,東海,S008,9,6422.93,4500.0
TRX000728,2024-01-18,P0025,健康食品 プレミアム,食品,健康食品,北海道,S014,7,10978.52,4900.0
TRX002183,2024-01-18,P0022,スナック菓子 スタンダード,食品,スナック菓子,中国・四国,S016,6,12575.29,6600.0
TRX002238,2024-01-18,P0029,調味料 プレミアム,食品,調味料,東海,S009,4,5176.07,2800.0
TRX002399,2024-01-18,P0013,レディーストップス プレミアム,衣料品,レディーストップス,北海道,S014,1,13782.05,6300.0
TRX004474,2024-01-18,P0044,ヘアケア スタンダード,美容・健康,ヘアケア,九州,S011,6,21338.25,12600.0
TRX005122,2024-01-18,P0034,アウトドア スタンダード,スポーツ,アウトドア,北海道,S014,9,311802.93,193500.0
TRX005131,2024-01-18,P0048,メイクアップ スタンダード,美容・健康,メイクアップ,中国・四国,S015,6,10537.37,4800.0
TRX005160,2024-01-18,P0004,タブレット スタンダード,家電,タブレット,中国・四国,S015,4,42504.26,20800.0
TRX000223,2024-01-19,P0024,飲料 スタンダード,食品,飲料,東海,S008,7,4973.12,3500.0
TRX000640,2024-01-19,P0044,ヘアケア スタンダード,美容・健康,ヘアケア,関東,S002,1,3642.37,2100.0
TRX001568,2024-01-19,P0039,水泳 プレミアム,スポーツ,水泳,東北,S013,4,75822.57,41200.0
TRX003409,2024-01-19,P0047,メイクアップ プレミアム,美容・健康,メイクアップ,関東,S001,3,10559.0,5400.0
TRX003999,2024-01-19,P0023,飲料 プレミアム,食品,飲料,中国・四国,S015,8,8159.9,4000.0
TRX004303,2024-01-19,P0049,フレグランス プレミアム,美容・健康,フレグランス,関西,S007,9,45660.86,25200.0
TRX004390,2024-01-19,P0044,ヘアケア スタンダード,美容・健康,ヘアケア,北海道,S014,3,11360.54,6300.0
TRX004872,2024-01-19,P0008,イヤホン スタンダード,家電,イヤホン,関東,S002,1,113262.23,48900.0
TRX000198,2024-01-20,P0030,調味料 スタンダード,食品,調味料,関東,S003,7,2761.82,2100.0
TRX000748,2024-01-20,P0033,アウトドア プレミアム,スポーツ,アウトドア,北海道,S014,1,12569.33,6600.0
TRX001084,2024-01-20,P0032,フィットネス用品 スタンダード,スポーツ,フィットネス用品,関西,S007,7,253793.61,109900.0
TRX004600,2024-01-20,P0036,ランニング スタンダード,スポーツ,ランニング,関西,S006,1,16358.55,7900.0
TRX000052,2024-01-21,P0049,フレグランス プレミアム,美容・健康,フレグランス,東北,S013,8,42748.07,22400.0
TRX000614,2024-01-21,P0050,フレグランス スタンダード,美容・健康,フレグランス,中国・四国,S015,2,6409.36,3000.0
TRX000832,2024-01-21,P0027,インスタント食品 プレミアム,食品,インスタント食品,関東,S003,2,2472.25,1600.0
TRX002126,2024-01-21,P0049,フレグランス プレミアム,美容・健康,フレグランス,東北,S012,1,5363.74,2800.0
TRX002553,2024-01-21,P0032,フィットネス用品 スタンダード,スポーツ,フィットネス用品,北海道,S014,11,413602.63,172700.0
TRX002919,2024-01-21,P0005,ノートPC プレミアム,家電,ノートPC,東北,S012,4,348112.38,205200.0
TRX002950,2024-01-21,P0013,レディーストップス プレミアム,衣料品,レディーストップス,九州,S011,7,93720.23,44100.0
TRX003246,2024-01-21,P0048,メイクアップ スタンダード,美容・健康,メイクアップ,北海道,S014,3,5334.31,2400.0
TRX000877,2024-01-22,P0045,サプリメント プレミアム,美容・健康,サプリメント,九州,S011,4,30439.02,15600.0
TRX001758,2024-01-22,P0020,シューズ スタンダード,衣料品,シューズ,関西,S005,5,104307.74,55500.0
TRX001937,2024-01-22,P0012,メンズトップス スタンダード,衣料品,メンズトップス,東海,S008,7,60578.12,31500.0
TRX002022,2024-01-22,P0004,タブレット スタンダード,家電,タブレット,関東,S002,10,112714.71,52000.0
TRX002756,2024-01-22,P0032,フィットネス用品 スタンダード,スポーツ,フィットネス用品,東北,S013,7,261356.73,109900.0
TRX002860,2024-01-22,P0007,イヤホン プレミアム,家電,イヤホン,関西,S007,7,764004.04,320600.0
TRX002985,2024-01-22,P0016,ボトムス スタンダード,衣料品,ボトムス,九州,S010,1,23991.58,11800.0
TRX003467,2024-01-22,P0001,スマートフォン プレミアム,家電,スマートフォン,九州,S011,1,94276.46,41800.0
TRX004156,2024-01-22,P0034,アウトドア スタンダード,スポーツ,アウトドア,関西,S006,5,179009.56,107500.0
TRX004679,2024-01-22,P0035,ランニング プレミアム,スポーツ,ランニング,中国・四国,S016,7,163818.09,113400.0
TRX004816,2024-01-22,P0024,飲料 スタンダード,食品,飲料,北海道,S014,9,6121.94,4500.0
TRX000352,2024-01-23,P0026,健康食品 スタンダード,食品,健康食品,東海,S008,3,1214.24,600.0
TRX000542,2024-01-23,P0005,ノートPC プレミアム,家電,ノートPC,関西,S007,3,247041.16,153900.0
TRX002206,2024-01-23,P0029,調味料 プレミアム,食品,調味料,中国・四国,S016,8,10285.98,5600.0
TRX002594,2024-01-23,P0032,フィットネス用品 スタンダード,スポーツ,フィットネス用品,九州,S010,5,172086.15,78500.0
TRX003540,2024-01-23,P0035,ランニング プレミアム,スポーツ,ランニング,北海道,S014,6,153800.86,97200.0
TRX002133,2024-01-24,P0020,シューズ スタンダード,衣料品,シューズ,東海,S009,5,101837.58,55500.0
TRX002990,2024-01-24,P0043,ヘアケア プレミアム,美容・健康,ヘアケア,関東,S004,12,20662.36,10800.0
TRX002992,2024-01-24,P0050,フレグランス スタンダード,美容・健康,フレグランス,関西,S007,4,12095.75,6000.0
TRX003843,2024-01-24,P0048,メイクアップ スタンダード,美容・健康,メイクアップ,中国・四国,S015,6,10654.89,4800.0
TRX003948,2024-01-24,P0039,水泳 プレミアム,スポーツ,水泳,中国・四国,S016,4,79409.45,41200.0
TRX004597,2024-01-24,P0032,フィットネス用品 スタンダード,スポーツ,フィットネス用品,中国・四国,S015,1,35334.56,15700.0
TRX004764,2024-01-24,P0033,アウトドア プレミアム,スポーツ,アウトドア,関西,S007,6,72400.65,39600.0
TRX005183,2024-01-24,P0006,ノートPC スタンダード,家電,ノートPC,関東,S002,4,374882.7,180800.0
TRX002282,2024-01-25,P0029,調味料 プレミアム,食品,調味料,九州,S010,1,1227.13,700.0
TRX002630,2024-01-25,P0004,タブレット スタンダード,家電,タブレット,北海道,S014,5,55878.73,26000.0
TRX004034,2024-01-25,P0001,スマートフォン プレミアム,家電,スマートフォン,東海,S008,4,371161.55,167200.0
TRX004201,2024-01-25,P0048,メイクアップ スタンダード,美容・健康,メイクアップ,中国・四国,S016,6,11094.02,4800.0
TRX004511,2024-01-25,P0030,調味料 スタンダード,食品,調味料,関西,S006,3,1164.77,900.0
TRX000963,2024-01-26,P0012,メンズトップス スタンダード,衣料品,メンズトップス,九州,S010,5,45533.34,22500.0
TRX002591,2024-01-26,P0009,スマートウォッチ プレミアム,家電,スマートウォッチ,中国・四国,S016,1,62908.2,36700.0
TRX004674,2024-01-26,P0044,ヘアケア スタンダード,美容・健康,ヘアケア,関西,S006,4,15346.45,8400.0
TRX004843,2024-01-26,P0033,アウトドア プレミアム,スポーツ,アウトドア,中国・四国,S015,5,61209.62,33000.0
TRX000551,2024-01-27,P0021,スナック菓子 プレミアム,食品,スナック菓子,東北,S012,10,8479.26,5000.0
TRX000623,2024-01-27,P0042,スキンケア スタンダード,美容・健康,スキンケア,九州,S011,4,28747.24,15600.0
TRX002395,2024-01-27,P0035,ランニング プレミアム,スポーツ,ランニング,関西,S005,5,119167.17,81000.0
TRX002429,2024-01-27,P0014,レディーストップス スタンダード,衣料品,レディーストップス,東北,S012,12,274446.19,168000.0
TRX002446,2024-01-27,P0032,フィットネス用品 スタンダード,スポーツ,フィットネス用品,関西,S007,6,228771.67,94200.0
TRX002964,2024-01-27,P0047,メイクアップ プレミアム,美容・健康,メイクアップ,関西,S006,6,19885.46,10800.0
TRX003269,2024-01-27,P0017,アウター プレミアム,衣料品,アウター,東北,S012,2,7599.91,3600.0
TRX004122,2024-01-27,P0040,水泳 スタンダード,スポーツ,水泳,九州,S010,9,338646.59,181800.0
TRX001244,2024-01-28,P0049,フレグランス プレミアム,美容・健康,フレグランス,北海道,S014,2,10527.95,5600.0
TRX003216,2024-01-28,P0017,アウター プレミアム,衣料品,アウター,関東,S002,8,27476.94,14400.0
TRX004049,2024-01-28,P0030,調味料 スタンダード,食品,調味料,関西,S005,6,2290.2,1800.0
TRX004720,2024-01-28,P0037,チームスポーツ プレミアム,スポーツ,チームスポーツ,関西,S007,1,14516.4,6700.0
TRX004982,2024-01-28,P0017,アウター プレミアム,衣料品,アウター,九州,S011,11,39984.47,19800.0
TRX001243,2024-01-29,P0038,チームスポーツ スタンダード,スポーツ,チームスポーツ,関東,S002,6,35800.32,21600.0
TRX001596,2024-01-29,P0045,サプリメント プレミアム,美容・健康,サプリメント,北海道,S014,3,23667.83,11700.0
TRX003185,2024-01-29,P0044,ヘアケア スタンダード,美容・健康,ヘアケア,中国・四国,S015,6,23619.5,12600.0
TRX003643,2024-01-29,P0010,スマートウォッチ スタンダード,家電,スマートウォッチ,北海道,S014,9,977415.51,470700.0
TRX004612,2024-01-29,P0008,イヤホン スタンダード,家電,イヤホン,九州,S010,6,703990.31,293400.0
TRX000286,2024-01-30,P0006,ノートPC スタンダード,家電,ノートPC,関東,S003,1,99268.11,45200.0
TRX000607,2024-01-30,P0012,メンズトップス スタンダード,衣料品,メンズトップス,関西,S005,6,55783.72,27000.0
TRX002375,2024-01-30,P0002,スマートフォン スタンダード,家電,スマートフォン,東海,S008,5,538595.21,286000.0
TRX002616,2024-01-30,P0042,スキンケア スタンダード,美容・健康,スキンケア,北海道,S014,6,41031.29,23400.0
TRX003173,2024-01-30,P0021,スナック菓子 プレミアム,食品,スナック菓子,関西,S005,9,8395.21,4500.0
TRX003512,2024-01-30,P0017,アウター プレミアム,衣料品,アウター,関西,S007,1,3728.49,1800.0
TRX005174,2024-01-30,P0012,メンズトップス スタンダード,衣料品,メンズトップス,中国・四国,S015,5,45087.46,22500.0
TRX000939,2024-01-31,P0036,ランニング スタンダード,スポーツ,ランニング,東海,S008,8,129410.75,63200.0
TRX001021,2024-01-31,P0005,ノートPC プレミアム,家電,ノートPC,九州,S010,2,157725.69,102600.0
TRX001493,2024-01-31,P0013,レディーストップス プレミアム,衣料品,レディーストップス,関西,S006,7,98766.9,44100.0
TRX001996,2024-01-31,P0047,メイクアップ プレミアム,美容・健康,メイクアップ,関西,S005,1,3200.68,1800.0
TRX002467,2024-01-31,P0042,スキンケア スタンダード,美容・健康,スキンケア,九州,S010,4,28816.0,15600.0
TRX003374,2024-01-31,P0033,アウトドア プレミアム,スポーツ,アウトドア,中国・四国,S016,5,61944.64,33000.0
TRX003793,2024-01-31,P0017,アウター プレミアム,衣料品,アウター,九州,S011,1,3728.47,1800.0
TRX000997,2024-02-01,P0022,スナック菓子 スタンダード,食品,スナック菓子,九州,S010,1,1978.56,1100.0
TRX002277,2024-02-01,P0014,レディーストップス スタンダード,衣料品,レディーストップス,東北,S013,1,24163.7,14000.0
TRX002961,2024-02-01,P0006,ノートPC スタンダード,家電,ノートPC,東海,S008,3,294881.01,135600.0
TRX003233,2024-02-01,P0047,メイクアップ プレミアム,美容・健康,メイクアップ,関東,S003,2,6505.26,3600.0
TRX004454,2024-02-01,P0048,メイクアップ スタンダード,美容・健康,メイクアップ,北海道,S014,1,1815.09,800.0
TRX004736,2024-02-01,P0025,健康食品 プレミアム,食品,健康食品,中国・四国,S016,3,4437.84,2100.0
TRX005169,2024-02-01,P0003,タブレット プレミアム,家電,タブレット,北海道,S014,4,46405.87,25600.0
TRX000887,2024-02-02,P0013,レディーストップス プレミアム,衣料品,レディーストップス,関東,S004,3,41843.04,18900.0
TRX001530,2024-02-02,P0045,サプリメント プレミアム,美容・健康,サプリメント,東北,S013,3,22781.45,11700.0
TRX002041,2024-02-02,P0035,ランニング プレミアム,スポーツ,ランニング,中国・四国,S016,7,184397.25,113400.0
