case_id,created_date,category,priority,transcript,resolution_status
CASE00222,2024-02-26,スポーツ,中,【2024-02-26 受付】ランニングシューズのソールが剥がれてきました。購入から6ヶ月ですが、週に3回程度使用しています。保証対応はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00278,2024-02-26,食品,中,【2024-02-26 受付】定期購入の解約方法を教えてください。マイページから操作しても解約できないエラーが発生します。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00017,2024-03-14,食品,中,【2024-03-14 受付】定期購入の解約方法を教えてください。マイページから操作しても解約できないエラーが発生します。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00254,2024-03-17,スポーツ,高,【2024-03-17 受付】アウトドアグッズの防水性能について確認したいです。小雨程度は問題ないとのことでしたが、先日の使用で濡れてしまいました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00261,2024-03-19,衣料品,中,【2024-03-19 受付】洗濯後に縮んでしまいました。洗濯表示通りに洗ったつもりですが、1サイズ小さくなった感覚があります。返品対応は可能ですか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00271,2024-03-22,家電,高,【2024-03-22 受付】ノートPCのバッテリーが急速に消耗します。フル充電から2時間程度しか持ちません。購入時は8時間以上持つとのことでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00157,2024-03-25,家電,中,【2024-03-25 受付】スマートフォンの画面が突然暗くなってしまいます。充電は十分あるのですが、何度か電源を入れ直しても改善しません。購入から3ヶ月ほど経ちます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00100,2024-03-28,衣料品,中,【2024-03-28 受付】サイズ交換をお願いしたいです。Mサイズを購入しましたが、着用してみると少し小さく感じます。Lサイズと交換可能でしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00194,2024-04-04,食品,高,【2024-04-04 受付】賞味期限が記載された日より前に開封したところ、異臭がしました。品質管理の問題があるのではないでしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00175,2024-04-05,食品,低,【2024-04-05 受付】アレルギー表示について確認したいです。購入した商品の成分表に小麦が含まれているか明記されていませんでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00255,2024-04-05,美容・健康,中,【2024-04-05 受付】スキンケア商品を使用後に肌が赤くなってしまいました。敏感肌用とのことでしたが、刺激が強いようです。返品できますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00112,2024-04-09,家電,中,【2024-04-09 受付】イヤホンを接続してもBluetoothがすぐに切れてしまいます。他のデバイスでは問題ないため、製品の不具合ではないかと疑っています。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00169,2024-04-12,スポーツ,高,【2024-04-12 受付】ランニングシューズのソールが剥がれてきました。購入から6ヶ月ですが、週に3回程度使用しています。保証対応はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00127,2024-04-15,スポーツ,低,【2024-04-15 受付】フィットネス器具の組み立て説明書が不明確で、正しく組み立てられているか不安です。動画での説明はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00021,2024-04-16,衣料品,中,【2024-04-16 受付】サイズ交換をお願いしたいです。Mサイズを購入しましたが、着用してみると少し小さく感じます。Lサイズと交換可能でしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00132,2024-04-21,美容・健康,高,【2024-04-21 受付】スキンケア商品を使用後に肌が赤くなってしまいました。敏感肌用とのことでしたが、刺激が強いようです。返品できますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00011,2024-04-25,食品,中,【2024-04-25 受付】賞味期限が記載された日より前に開封したところ、異臭がしました。品質管理の問題があるのではないでしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00199,2024-04-30,家電,高,【2024-04-30 受付】イヤホンを接続してもBluetoothがすぐに切れてしまいます。他のデバイスでは問題ないため、製品の不具合ではないかと疑っています。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00046,2024-05-05,スポーツ,高,【2024-05-05 受付】ランニングシューズのソールが剥がれてきました。購入から6ヶ月ですが、週に3回程度使用しています。保証対応はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00014,2024-05-06,食品,中,【2024-05-06 受付】賞味期限が記載された日より前に開封したところ、異臭がしました。品質管理の問題があるのではないでしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00223,2024-05-06,家電,低,【2024-05-06 受付】ノートPCのバッテリーが急速に消耗します。フル充電から2時間程度しか持ちません。購入時は8時間以上持つとのことでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00086,2024-05-09,美容・健康,高,【2024-05-09 受付】サプリメントの服用方法について教えてください。食前と食後のどちらが効果的でしょうか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00064,2024-05-11,家電,低,【2024-05-11 受付】ノートPCのバッテリーが急速に消耗します。フル充電から2時間程度しか持ちません。購入時は8時間以上持つとのことでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00300,2024-05-12,食品,低,【2024-05-12 受付】賞味期限が記載された日より前に開封したところ、異臭がしました。品質管理の問題があるのではないでしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00253,2024-05-13,家電,高,【2024-05-13 受付】ノートPCのバッテリーが急速に消耗します。フル充電から2時間程度しか持ちません。購入時は8時間以上持つとのことでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00258,2024-05-14,スポーツ,低,【2024-05-14 受付】フィットネス器具の組み立て説明書が不明確で、正しく組み立てられているか不安です。動画での説明はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00214,2024-05-15,スポーツ,低,【2024-05-15 受付】アウトドアグッズの防水性能について確認したいです。小雨程度は問題ないとのことでしたが、先日の使用で濡れてしまいました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00148,2024-05-21,衣料品,高,【2024-05-21 受付】カラーが写真と違います。モニターの問題かもしれませんが、実物はかなり暗い色調でイメージと異なりました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00120,2024-05-27,家電,中,【2024-05-27 受付】スマートウォッチのGPS機能が正確に動作しません。ランニング中に計測した距離が実際より短く表示されます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00124,2024-05-30,家電,低,【2024-05-30 受付】スマートフォンの画面が突然暗くなってしまいます。充電は十分あるのですが、何度か電源を入れ直しても改善しません。購入から3ヶ月ほど経ちます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00079,2024-06-06,食品,低,【2024-06-06 受付】アレルギー表示について確認したいです。購入した商品の成分表に小麦が含まれているか明記されていませんでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00292,2024-06-06,衣料品,中,【2024-06-06 受付】サイズ交換をお願いしたいです。Mサイズを購入しましたが、着用してみると少し小さく感じます。Lサイズと交換可能でしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00129,2024-06-14,食品,低,【2024-06-14 受付】アレルギー表示について確認したいです。購入した商品の成分表に小麦が含まれているか明記されていませんでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00162,2024-06-15,家電,中,【2024-06-15 受付】スマートウォッチのGPS機能が正確に動作しません。ランニング中に計測した距離が実際より短く表示されます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00109,2024-06-18,家電,中,【2024-06-18 受付】スマートフォンの画面が突然暗くなってしまいます。充電は十分あるのですが、何度か電源を入れ直しても改善しません。購入から3ヶ月ほど経ちます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00087,2024-06-19,家電,低,【2024-06-19 受付】イヤホンを接続してもBluetoothがすぐに切れてしまいます。他のデバイスでは問題ないため、製品の不具合ではないかと疑っています。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00205,2024-06-19,食品,低,【2024-06-19 受付】アレルギー表示について確認したいです。購入した商品の成分表に小麦が含まれているか明記されていませんでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00226,2024-06-20,衣料品,高,【2024-06-20 受付】洗濯後に縮んでしまいました。洗濯表示通りに洗ったつもりですが、1サイズ小さくなった感覚があります。返品対応は可能ですか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00113,2024-06-22,スポーツ,中,【2024-06-22 受付】フィットネス器具の組み立て説明書が不明確で、正しく組み立てられているか不安です。動画での説明はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00019,2024-06-26,食品,中,【2024-06-26 受付】賞味期限が記載された日より前に開封したところ、異臭がしました。品質管理の問題があるのではないでしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00080,2024-06-27,食品,高,【2024-06-27 受付】定期購入の解約方法を教えてください。マイページから操作しても解約できないエラーが発生します。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00150,2024-06-27,家電,低,【2024-06-27 受付】イヤホンを接続してもBluetoothがすぐに切れてしまいます。他のデバイスでは問題ないため、製品の不具合ではないかと疑っています。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00101,2024-07-11,スポーツ,低,【2024-07-11 受付】フィットネス器具の組み立て説明書が不明確で、正しく組み立てられているか不安です。動画での説明はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00143,2024-07-11,食品,高,【2024-07-11 受付】アレルギー表示について確認したいです。購入した商品の成分表に小麦が含まれているか明記されていませんでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00286,2024-07-12,衣料品,低,【2024-07-12 受付】サイズ交換をお願いしたいです。Mサイズを購入しましたが、着用してみると少し小さく感じます。Lサイズと交換可能でしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00235,2024-07-14,食品,低,【2024-07-14 受付】賞味期限が記載された日より前に開封したところ、異臭がしました。品質管理の問題があるのではないでしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00156,2024-07-15,美容・健康,低,【2024-07-15 受付】サプリメントの服用方法について教えてください。食前と食後のどちらが効果的でしょうか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00034,2024-07-17,食品,高,【2024-07-17 受付】アレルギー表示について確認したいです。購入した商品の成分表に小麦が含まれているか明記されていませんでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00067,2024-07-17,美容・健康,高,【2024-07-17 受付】スキンケア商品を使用後に肌が赤くなってしまいました。敏感肌用とのことでしたが、刺激が強いようです。返品できますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00075,2024-07-19,家電,高,【2024-07-19 受付】スマートウォッチのGPS機能が正確に動作しません。ランニング中に計測した距離が実際より短く表示されます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00154,2024-07-22,衣料品,低,【2024-07-22 受付】カラーが写真と違います。モニターの問題かもしれませんが、実物はかなり暗い色調でイメージと異なりました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00004,2024-08-03,美容・健康,高,【2024-08-03 受付】サプリメントの服用方法について教えてください。食前と食後のどちらが効果的でしょうか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00206,2024-08-03,衣料品,中,【2024-08-03 受付】洗濯後に縮んでしまいました。洗濯表示通りに洗ったつもりですが、1サイズ小さくなった感覚があります。返品対応は可能ですか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00035,2024-08-06,家電,低,【2024-08-06 受付】スマートウォッチのGPS機能が正確に動作しません。ランニング中に計測した距離が実際より短く表示されます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00065,2024-08-07,衣料品,高,【2024-08-07 受付】洗濯後に縮んでしまいました。洗濯表示通りに洗ったつもりですが、1サイズ小さくなった感覚があります。返品対応は可能ですか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00105,2024-08-09,スポーツ,中,【2024-08-09 受付】ランニングシューズのソールが剥がれてきました。購入から6ヶ月ですが、週に3回程度使用しています。保証対応はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00193,2024-08-10,食品,低,【2024-08-10 受付】定期購入の解約方法を教えてください。マイページから操作しても解約できないエラーが発生します。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00128,2024-08-15,家電,低,【2024-08-15 受付】スマートフォンの画面が突然暗くなってしまいます。充電は十分あるのですが、何度か電源を入れ直しても改善しません。購入から3ヶ月ほど経ちます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00072,2024-08-18,食品,低,【2024-08-18 受付】賞味期限が記載された日より前に開封したところ、異臭がしました。品質管理の問題があるのではないでしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00071,2024-08-20,食品,低,【2024-08-20 受付】アレルギー表示について確認したいです。購入した商品の成分表に小麦が含まれているか明記されていませんでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00077,2024-08-21,衣料品,低,【2024-08-21 受付】カラーが写真と違います。モニターの問題かもしれませんが、実物はかなり暗い色調でイメージと異なりました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00187,2024-08-21,衣料品,中,【2024-08-21 受付】サイズ交換をお願いしたいです。Mサイズを購入しましたが、着用してみると少し小さく感じます。Lサイズと交換可能でしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00066,2024-08-24,衣料品,高,【2024-08-24 受付】カラーが写真と違います。モニターの問題かもしれませんが、実物はかなり暗い色調でイメージと異なりました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00155,2024-08-24,衣料品,中,【2024-08-24 受付】カラーが写真と違います。モニターの問題かもしれませんが、実物はかなり暗い色調でイメージと異なりました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00176,2024-08-25,衣料品,低,【2024-08-25 受付】カラーが写真と違います。モニターの問題かもしれませんが、実物はかなり暗い色調でイメージと異なりました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00227,2024-08-25,衣料品,高,【2024-08-25 受付】サイズ交換をお願いしたいです。Mサイズを購入しましたが、着用してみると少し小さく感じます。Lサイズと交換可能でしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00185,2024-08-26,食品,低,【2024-08-26 受付】定期購入の解約方法を教えてください。マイページから操作しても解約できないエラーが発生します。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00266,2024-08-28,衣料品,低,【2024-08-28 受付】サイズ交換をお願いしたいです。Mサイズを購入しましたが、着用してみると少し小さく感じます。Lサイズと交換可能でしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00288,2024-08-31,家電,高,【2024-08-31 受付】スマートウォッチのGPS機能が正確に動作しません。ランニング中に計測した距離が実際より短く表示されます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00178,2024-09-01,スポーツ,低,【2024-09-01 受付】ランニングシューズのソールが剥がれてきました。購入から6ヶ月ですが、週に3回程度使用しています。保証対応はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00061,2024-09-02,食品,中,【2024-09-02 受付】賞味期限が記載された日より前に開封したところ、異臭がしました。品質管理の問題があるのではないでしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00111,2024-09-05,食品,高,【2024-09-05 受付】賞味期限が記載された日より前に開封したところ、異臭がしました。品質管理の問題があるのではないでしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00242,2024-09-08,家電,低,【2024-09-08 受付】イヤホンを接続してもBluetoothがすぐに切れてしまいます。他のデバイスでは問題ないため、製品の不具合ではないかと疑っています。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00038,2024-09-14,食品,中,【2024-09-14 受付】アレルギー表示について確認したいです。購入した商品の成分表に小麦が含まれているか明記されていませんでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00240,2024-09-16,スポーツ,中,【2024-09-16 受付】フィットネス器具の組み立て説明書が不明確で、正しく組み立てられているか不安です。動画での説明はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00244,2024-09-19,家電,中,【2024-09-19 受付】ノートPCのバッテリーが急速に消耗します。フル充電から2時間程度しか持ちません。購入時は8時間以上持つとのことでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00209,2024-09-21,美容・健康,低,【2024-09-21 受付】サプリメントの服用方法について教えてください。食前と食後のどちらが効果的でしょうか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00179,2024-09-22,家電,中,【2024-09-22 受付】イヤホンを接続してもBluetoothがすぐに切れてしまいます。他のデバイスでは問題ないため、製品の不具合ではないかと疑っています。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00291,2024-09-22,食品,低,【2024-09-22 受付】賞味期限が記載された日より前に開封したところ、異臭がしました。品質管理の問題があるのではないでしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00108,2024-09-23,食品,高,【2024-09-23 受付】アレルギー表示について確認したいです。購入した商品の成分表に小麦が含まれているか明記されていませんでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00033,2024-09-25,美容・健康,高,【2024-09-25 受付】サプリメントの服用方法について教えてください。食前と食後のどちらが効果的でしょうか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
